
==========================================
--- Gaussian Known-Covariance Started at 2026-03-31 08:03:13.884671 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 50 ---
[2026-03-31 08:03:59] Rep 34, p = 100: Witten [feat = 100, acc = 0.970], Arias [feat = 12, acc = 0.975], IF-PCA [feat = 35, acc = 0.850]
[2026-03-31 08:03:59] Rep 35, p = 100: Witten [feat = 100, acc = 0.960], Arias [feat = 10, acc = 0.965], IF-PCA [feat = 8, acc = 0.535]
[2026-03-31 08:03:59] Rep 38, p = 100: Witten [feat = 100, acc = 0.960], Arias [feat = 14, acc = 0.970], IF-PCA [feat = 7, acc = 0.565]
[2026-03-31 08:03:59] Rep 31, p = 100: Witten [feat = 100, acc = 0.955], Arias [feat = 14, acc = 0.965], IF-PCA [feat = 9, acc = 0.525]
[2026-03-31 08:03:59] Rep 36, p = 100: Witten [feat = 100, acc = 0.970], Arias [feat = 10, acc = 0.970], IF-PCA [feat = 35, acc = 0.570]
[2026-03-31 08:03:59] Rep 32, p = 100: Witten [feat = 100, acc = 0.975], Arias [feat = 10, acc = 0.970], IF-PCA [feat = 32, acc = 0.520]
[2026-03-31 08:03:59] Rep 43, p = 100: Witten [feat = 100, acc = 0.990], Arias [feat = 20, acc = 0.990], IF-PCA [feat = 20, acc = 0.765]
[2026-03-31 08:03:59] Rep 40, p = 100: Witten [feat = 100, acc = 0.975], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 50, acc = 0.545]
[2026-03-31 08:03:59] Rep 37, p = 100: Witten [feat = 100, acc = 0.955], Arias [feat = 10, acc = 0.955], IF-PCA [feat = 47, acc = 0.845]
[2026-03-31 08:03:59] Rep 33, p = 100: Witten [feat = 100, acc = 0.965], Arias [feat = 12, acc = 0.985], IF-PCA [feat = 28, acc = 0.805]
[2026-03-31 08:03:59] Rep 42, p = 100: Witten [feat = 100, acc = 0.985], Arias [feat = 10, acc = 0.985], IF-PCA [feat = 14, acc = 0.835]
[2026-03-31 08:03:59] Rep 39, p = 100: Witten [feat = 100, acc = 0.985], Arias [feat = 14, acc = 0.990], IF-PCA [feat = 22, acc = 0.575]
[2026-03-31 08:03:59] Rep 41, p = 100: Witten [feat = 100, acc = 0.960], Arias [feat = 12, acc = 0.960], IF-PCA [feat = 9, acc = 0.530]
[2026-03-31 08:03:59] Rep 45, p = 100: Witten [feat = 100, acc = 0.975], Arias [feat = 12, acc = 0.970], IF-PCA [feat = 11, acc = 0.520]
[2026-03-31 08:03:59] Rep 44, p = 100: Witten [feat = 100, acc = 0.975], Arias [feat = 12, acc = 0.975], IF-PCA [feat = 8, acc = 0.565]
