
==========================================
--- Laplace Known-Covariance Started at 2026-03-31 08:05:12.935097 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 3000 ---
[2026-03-31 08:25:16] Rep 80, p = 3000: Witten [feat = 136, acc = 0.545], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1499, acc = 0.550]
[2026-03-31 08:25:27] Rep 86, p = 3000: Witten [feat = 98, acc = 0.530], Arias [feat = 60, acc = 0.990], IF-PCA [feat = 1495, acc = 0.515]
[2026-03-31 08:25:27] Rep 88, p = 3000: Witten [feat = 65, acc = 0.535], Arias [feat = 60, acc = 0.985], IF-PCA [feat = 1123, acc = 0.510]
[2026-03-31 08:25:33] Rep 87, p = 3000: Witten [feat = 98, acc = 0.520], Arias [feat = 60, acc = 0.945], IF-PCA [feat = 1350, acc = 0.545]
[2026-03-31 08:25:33] Rep 89, p = 3000: Witten [feat = 87, acc = 0.535], Arias [feat = 60, acc = 0.945], IF-PCA [feat = 1488, acc = 0.570]
[2026-03-31 08:25:50] Rep 85, p = 3000: Witten [feat = 119, acc = 0.520], Arias [feat = 60, acc = 0.955], IF-PCA [feat = 1460, acc = 0.505]
[2026-03-31 08:25:55] Rep 90, p = 3000: Witten [feat = 208, acc = 0.515], Arias [feat = 60, acc = 0.965], IF-PCA [feat = 1454, acc = 0.510]
[2026-03-31 08:27:07] Rep 91, p = 3000: Witten [feat = 96, acc = 0.540], Arias [feat = 60, acc = 0.950], IF-PCA [feat = 1106, acc = 0.525]
[2026-03-31 08:27:20] Rep 93, p = 3000: Witten [feat = 37, acc = 0.530], Arias [feat = 60, acc = 0.970], IF-PCA [feat = 1481, acc = 0.545]
[2026-03-31 08:27:25] Rep 95, p = 3000: Witten [feat = 80, acc = 0.570], Arias [feat = 60, acc = 0.945], IF-PCA [feat = 1202, acc = 0.530]
[2026-03-31 08:27:27] Rep 96, p = 3000: Witten [feat = 111, acc = 0.555], Arias [feat = 60, acc = 0.950], IF-PCA [feat = 1496, acc = 0.525]
[2026-03-31 08:27:29] Rep 92, p = 3000: Witten [feat = 111, acc = 0.535], Arias [feat = 60, acc = 0.945], IF-PCA [feat = 1299, acc = 0.500]
[2026-03-31 08:27:32] Rep 94, p = 3000: Witten [feat = 71, acc = 0.925], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 806, acc = 0.515]
[2026-03-31 08:27:39] Rep 98, p = 3000: Witten [feat = 109, acc = 0.515], Arias [feat = 60, acc = 0.985], IF-PCA [feat = 1473, acc = 0.515]
[2026-03-31 08:27:42] Rep 100, p = 3000: Witten [feat = 175, acc = 0.545], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1419, acc = 0.535]
[2026-03-31 08:27:42] Rep 97, p = 3000: Witten [feat = 82, acc = 0.525], Arias [feat = 60, acc = 0.960], IF-PCA [feat = 1293, acc = 0.510]
[2026-03-31 08:27:46] Rep 99, p = 3000: Witten [feat = 123, acc = 0.510], Arias [feat = 60, acc = 0.975], IF-PCA [feat = 1461, acc = 0.520]

--- Dimension p = 6000 ---
[2026-03-31 08:34:07] Rep 12, p = 6000: Witten [feat = 146, acc = 0.595], Arias [feat = 120, acc = 0.905], IF-PCA [feat = 2763, acc = 0.525]
[2026-03-31 08:34:41] Rep 14, p = 6000: Witten [feat = 177, acc = 0.925], Arias [feat = 120, acc = 0.925], IF-PCA [feat = 2965, acc = 0.540]
[2026-03-31 08:34:51] Rep 10, p = 6000: Witten [feat = 195, acc = 0.520], Arias [feat = 120, acc = 0.970], IF-PCA [feat = 2937, acc = 0.500]
[2026-03-31 08:34:53] Rep 9, p = 6000: Witten [feat = 80, acc = 0.525], Arias [feat = 120, acc = 0.885], IF-PCA [feat = 2132, acc = 0.505]
[2026-03-31 08:34:57] Rep 3, p = 6000: Witten [feat = 177, acc = 0.505], Arias [feat = 120, acc = 0.930], IF-PCA [feat = 2869, acc = 0.535]
[2026-03-31 08:34:59] Rep 5, p = 6000: Witten [feat = 106, acc = 0.555], Arias [feat = 120, acc = 0.965], IF-PCA [feat = 1609, acc = 0.505]
[2026-03-31 08:35:00] Rep 6, p = 6000: Witten [feat = 63, acc = 0.555], Arias [feat = 240, acc = 0.955], IF-PCA [feat = 2236, acc = 0.500]
[2026-03-31 08:35:03] Rep 2, p = 6000: Witten [feat = 331, acc = 0.515], Arias [feat = 120, acc = 0.965], IF-PCA [feat = 3000, acc = 0.550]
