
==========================================
--- Gaussian Known-Covariance Started at 2026-04-02 15:43:16 ---
==========================================
Registered doParallel backend with 15 cores.

--- Dimension p = 1000 ---
[2026-04-02 16:05:18] Rep 67, p = 1000: Witten [feat = 207, acc = 0.955], Arias [feat = 80, acc = 0.950], IF-PCA [feat = 230, acc = 0.540], SCVX [acc = 0.880]
[2026-04-02 16:05:26] Rep 70, p = 1000: Witten [feat = 218, acc = 0.990], Arias [feat = 100, acc = 0.975], IF-PCA [feat = 361, acc = 0.565], SCVX [acc = 0.850]
[2026-04-02 16:05:27] Rep 75, p = 1000: Witten [feat = 508, acc = 0.965], Arias [feat = 80, acc = 0.960], IF-PCA [feat = 64, acc = 0.540], SCVX [acc = 0.865]
[2026-04-02 16:05:48] Rep 73, p = 1000: Witten [feat = 10, acc = 0.975], Arias [feat = 60, acc = 0.975], IF-PCA [feat = 395, acc = 0.515], SCVX [acc = 0.775]
[2026-04-02 16:06:00] Rep 74, p = 1000: Witten [feat = 601, acc = 0.965], Arias [feat = 40, acc = 0.940], IF-PCA [feat = 123, acc = 0.540], SCVX [acc = 0.865]
[2026-04-02 16:06:19] Rep 71, p = 1000: Witten [feat = 10, acc = 0.985], Arias [feat = 180, acc = 0.940], IF-PCA [feat = 19, acc = 0.510], SCVX [acc = 0.830]
[2026-04-02 16:06:19] Rep 72, p = 1000: Witten [feat = 460, acc = 0.960], Arias [feat = 40, acc = 0.930], IF-PCA [feat = 84, acc = 0.555], SCVX [acc = NA]
[2026-04-02 16:08:31] Rep 77, p = 1000: Witten [feat = 99, acc = 0.980], Arias [feat = 40, acc = 0.980], IF-PCA [feat = 351, acc = 0.535], SCVX [acc = 0.900]
[2026-04-02 16:08:37] Rep 80, p = 1000: Witten [feat = 483, acc = 0.520], Arias [feat = 40, acc = 0.975], IF-PCA [feat = 198, acc = 0.545], SCVX [acc = 0.855]
[2026-04-02 16:08:41] Rep 76, p = 1000: Witten [feat = 135, acc = 0.970], Arias [feat = 40, acc = 0.970], IF-PCA [feat = 407, acc = 0.565], SCVX [acc = 0.935]
[2026-04-02 16:08:41] Rep 78, p = 1000: Witten [feat = 245, acc = 0.960], Arias [feat = 20, acc = 0.955], IF-PCA [feat = 421, acc = 0.870], SCVX [acc = 0.835]
[2026-04-02 16:08:50] Rep 79, p = 1000: Witten [feat = 133, acc = 0.955], Arias [feat = 20, acc = 0.965], IF-PCA [feat = 155, acc = 0.655], SCVX [acc = 0.885]
